31	1064
50	2057
51	1070
60	1228
269	1443
312	2877
322	2982
355	1141
369	2363
372	2844
643	3270
658	2515
712	3203
719	2485
749	3229
878	2181
1014	1967
1030	2262
1109	2846
1129	3900
1302	3147
1313	3500
1449	2811
1450	3590
1462	3001
1483	2295
1496	3875
1696	2574
1706	4289
1778	3210
2065	4941
2250	3473
2327	3595
2355	3289
2468	4714
2501	4461
2504	4670
2523	3619
2527	3963
2682	4621
2799	4650
2959	4930
3037	4702
3116	4930
3135	5774
3184	4688
3326	4708
3399	4797
3433	4455
3563	5394
3568	5627
3593	4491
3599	5560
3609	5799
3640	5997
3653	6019
3665	6498
3768	5105
3769	4733
3817	4632
3859	6598
4244	5918
4271	6339
4298	6454
4344	6896
4407	7199
4423	5774
4457	5340
4598	5846
4740	5950
4752	7054
4771	7287
4930	7057
5131	7466
5166	6839
5192	6032
5324	7473
5328	7397
5532	7445
5598	6432
5716	7534
5767	7068
5795	6849
5962	8023
5963	8219
5987	7497
6045	8622
6060	8149
6208	7924
6210	8004
6284	8585
6307	8995
6355	8262
6371	9145
6412	7453
6439	8400
6462	8047
6477	7729
6730	9324
6763	8730
6825	7777
6933	8631
7099	9945
7122	8486
7146	8678
7298	8928
7337	8296
7514	8949
7565	8317
7571	9025
7634	9741
7701	9056
7717	9805
7887	8741
7888	9247
8157	10432
8257	10923
8269	10773
8315	10716
8533	9798
8551	10453
8682	11167
8783	10974
8864	9884
8975	10275
9037	11899
9133	9993
9143	11840
9239	10130
9273	11415
9285	11516
9293	10586
9294	10969
9369	12187
9400	12030
9405	12054
9411	10201
9590	12222
9663	10852
9722	11621
9783	12442
9814	12550
9833	12247
9844	11106
9953	12313
9998	12583
10037	11289
10041	12886
10054	12601
